"Year_First","Year_Last","Country","PDF"
"1995",NA,"Australia","internal-pdf://3887698401.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Australia","internal-pdf://0281050452.pdf;internal-pdf://3490871707.pdf;internal-pdf://2256030212.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Australia","internal-pdf://3391340592.pdf;internal-pdf://0281050452.pdf;internal-pdf://3490871707.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://3391340592.pdf;internal-pdf://2256030212.pdf;internal-pdf://0659339597.pdf"
"",NA,"Australia","internal-pdf://3391340592.pdf;internal-pdf://0281050452.pdf;internal-pdf://3490871707.pdf;internal-pdf://1594807244.pdf"
"1994",1995,"United States","internal-pdf://2457284182.pdf;internal-pdf://0251931699.pdf;internal-pdf://1100312109.pdf;internal-pdf://2573831033.pdf;internal-pdf://2764266581.pdf"
"1994",1995,"United States",""
"2005",2005,"Italy",""
"",NA,"",NA
"",NA,"","internal-pdf://3569325249.pdf"
"2002",2003,"Nepal",NA
"",NA,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf"
"",NA,"India",NA
"1959",1959,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1963",1963,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1966",1966,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1968",1968,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1958",1958,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
